Luas_Tanah_m2;Luas_Bangunan_m2;Kamar_Tidur;Umur_Bangunan_tahun;Jarak_Pusat_Kota_km;Harga_Properti_juta
21854;26755;1;30;775;21689
47782;6113;1;7;1333;22399
3794;898;1;6;1011;2369
3194;36247;4;25;121;72308
12021;25438;1;25;150;20609
1202;334;5;1;116;69934
7614;6754;3;21;1214;2933
43978;2755;3;21;1172;56189
3205;3187;1;2;82;2000
36863;895;4;26;741;72508
5926;23303;4;17;1809;56531
48646;2860;5;11;1254;109996
4246;27123;1;0;564;57488
14555;11298;3;21;1047;35343
13182;29351;4;11;728;89441
13253;11778;1;4;1874;20058
18691;1504;4;29;114;62919
28614;3062;4;29;528;61182
24438;27036;3;26;794;56125
18105;34421;2;24;1027;45511
32533;27332;5;16;1717;85124
11277;24027;5;15;267;88582
18147;6466;3;30;1631;23793
21486;16605;4;14;206;79575
25523;12812;1;22;170;2000
40333;12028;4;14;198;85566
13985;39001;3;4;135;85954
28141;17545;5;20;1424;67995
31659;36006;4;13;1995;74332
709;26352;5;1;1804;77966
3234;32408;1;10;1194;53013
12674;21598;5;18;1843;7193
7927;24345;5;6;11;98402
4770;21223;2;5;1953;39395
48453;10224;2;27;1032;39302
41378;29731;2;1;1474;64125
18708;13389;5;5;166;80275
9395;390;3;17;1465;32784
3579;26882;5;1;1117;102796
24807;9553;3;17;1006;46794
10492;37797;3;29;1693;40587
27283;38295;2;14;49;57875
6547;3685;4;26;1939;61518
45919;16696;1;18;1451;24226
16645;3572;2;30;479;24834
34814;37348;2;1;1499;64129
19027;18843;4;19;1107;70855
28403;38766;1;24;1444;38566
29602;38654;5;5;1559;103771
13318;34561;5;0;266;110388
48631;13895;2;23;1062;48337
39881;17249;1;14;1871;20493
47277;34492;2;27;709;58995
45267;14726;3;29;1228;5215
31905;9271;2;22;802;31972
46484;23602;2;9;963;63072
8982;37638;5;18;1142;86045
13819;28753;5;16;1143;9174
7035;24092;5;4;483;89126
1964;6596;3;28;1401;34449
2249;25755;5;3;267;103511
17211;39632;1;9;364;42291
42293;8183;4;23;105;75043
21054;22178;1;16;322;33718
17642;35463;1;9;999;3738
29421;30408;5;16;1252;86803
11342;2879;4;27;1609;6762
41099;28992;4;19;303;91652
8355;16301;4;23;1716;44587
4941;13863;3;4;1517;71729
39751;32946;5;1;876;115059
13942;32974;4;5;1873;66119
5248;35082;3;20;1983;40637
41696;3679;2;1;49;73768
36809;2192;2;12;821;53217
37805;21556;3;29;186;51161
39707;32537;3;10;1471;75924
8332;27049;5;10;191;96593
21131;28973;5;15;1585;92128
10214;32444;2;10;1673;39966
4384;3593;4;18;1526;82606
33048;15506;2;14;1619;35722
1989;16897;4;24;1668;54438
786;6477;4;22;454;40681
